Wallet name,Address type,address
defi-earn,EVM,0x4DF0BCB425aac41795B40a2B5A563A6a3eC23B41
defi-staking,Osmosis,osmo1h9sy6z5hnk5wjf6ds8w4syq0yqs706n9m6qlap
defi-earn,Bitcoin,bc1qkgrz5mgsvze06mkexdqghw8udkcv88mmuvaxzz
defi-earn,EVM,0xBb6CaCfCeA26e45D0ac8019e1Eb606440736b53e
defi-earn,EVM,0x697A276401BadD8A9e37aEdd3DBF70b325f31268
defi-earn,EVM,0x8a1feCFF181dD770206c0892E09B0243A495152b
defi-earn,EVM,0x5eD60B7BFba654342C401f853B55B8dd82f90726
defi-earn,EVM,0x4c61Fad9b400A8a3E0BbD40C4D57cF05525BF87e
defi-earn,EVM,0xa9a99C96e9fCCaC00a100e72A2C19eDe79458698
defi-earn,Solana,H9RCk9jQYX1bZ6HmjDAiD4r8GMgF8zpW9P1pacze7L9E
defi-earn,EVM,0x52b37e6dB2Fe5bB2781355Ac397aE49C9Bd29275
defi-earn,EVM,0xE8322f6234B6F1e6e3489600f8b1297aB3dE22ab
defi-earn,EVM,0xC6A4e26E07a848F2AB180a455C211d38BF483E3E
defi-earn,Solana,F98pLYBStoB31WNTWGoQMNz3A6uwoneivaYVCAD7Gim1
defi-earn,Solana,4GiXcDsHVtqBZyUZBW55UcfAAgDcCm2Peojhhc6T3BZb
defi-earn,EVM,0x2D6757CE162CccD3EfFc8044751aC174168242E5
